CODIGO DEL PRODUCTO;NOMBRE PRODUCTO;UNIDAD;PRESENTACION;TEMPERATURA;PRECIO EXWORK 2022;TIPO
130299007M;MAGLUMI Tubing cleaning solution (500ml/vial);FRASCO;9c0db592-c763-4a94-a08c-846215c2d16d;AMBIENTE;58.00;CONSUMIBLE
130219015M;MAGLUMI 2019-nCov IgG;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;95.00;REACTIVO
130219016M;MAGLUMI 2019-nCov IgM;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;95.00;REACTIVO
130219017M;MAGLUMI SARS COV-2-S-RBD IgG ;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;95.00;REACTIVO
130219027M;MAGLUMI SARS COV-2 Neutralizing Antibody;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;114.00;REACTIVO
1305990001;Alkaline wash;FRASCO;e361e160-fc96-4bb6-8d65-15507a8159de;AMBIENTE;80.00;CONSUMIBLE
1305990002;Acid wash;FRASCO;9c0db592-c763-4a94-a08c-846215c2d16d;AMBIENTE;25.00;CONSUMIBLE
1305990003;Hitergent;FRASCO;9c0db592-c763-4a94-a08c-846215c2d16d;AMBIENTE;50.00;CONSUMIBLE
130298005M;MAGLUMI IGFBP-3;KIT;1fff193a-6917-4797-a4f1-9ba573fa85af;;254.60;REACTIVO
130603001M;MAGLUMI TSH;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;40.76;REACTIVO
130603002M;MAGLUMI T4;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;33.96;REACTIVO
130603003M;MAGLUMI T3;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;33.96;REACTIVO
130603004M;MAGLUMI FT4;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;33.96;REACTIVO
130603005M;MAGLUMI FT3;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;33.96;REACTIVO
130603006M;MAGLUMI TG;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;40.76;REACTIVO
130603007M;MAGLUMI TGA;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;77.19;REACTIVO
130603008M;MAGLUMI TMA;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;77.19;REACTIVO
130603009M;MAGLUMI TRAb;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;106.21;REACTIVO
130603010M;MAGLUMI rT3;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;48.17;RUO
130603011M;MAGLUMI anti-TPO;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;106.21;REACTIVO
